date,net_proceeds,cafd0,total_fee,allocation1,due1,paid1,accrued1,cafd1,classa,allocation2,due2,paid2,accrued2,cafd2
2022-10-01,0.0,0.0,320.54794520547915,100,320.54794520547915,0.0,320.54794520547915,0.0,961.6438356164392,100,961.6438356164392,0.0,961.6438356164392,0.0
2023-01-01,0.0,0.0,20800.874974387632,100,21121.42291959311,0.0,21121.42291959311,0.0,26906.301369863024,100,27867.945205479464,0.0,27867.945205479464,0.0
2023-04-01,104703.35629,104703.35629,16054.092394189047,100,37175.51531378216,37175.51531378216,0.0,67527.84097621783,35066.71232876714,100,62934.65753424661,62934.65753424661,0.0,4593.183441971225
2023-07-01,78169.16,78169.16,28071.0503547945,100,28071.0503547945,28071.0503547945,0.0,50098.109645205506,39448.35616438355,100,39448.35616438355,39448.35616438355,0.0,10649.753480821957
2023-10-01,16215.45099,16215.45099,14513.424657534266,100,14513.424657534266,14513.424657534266,0.0,1702.0263324657335,43540.27397260274,100,43540.27397260274,1702.0263324657335,41838.24764013701,0.0
2024-01-01,59318.7,59318.7,15258.082191780792,100,15258.082191780792,15258.082191780792,0.0,44060.617808219205,45774.24657534247,100,87612.49421547947,44060.617808219205,43551.876407260264,0.0
2024-04-01,62312.67,62312.67,15258.082191780792,100,15258.082191780792,15258.082191780792,0.0,47054.58780821921,45774.24657534247,100,89326.12298260274,47054.58780821921,42271.535174383534,0.0
2024-07-01,10521.82,10521.82,7209.863013698616,100,7209.863013698616,7209.863013698616,0.0,3311.956986301384,21629.589041095893,100,63901.12421547943,3311.956986301384,60589.16722917805,0.0
